Source Name,Village,Parish,Sub county ,County,District,GPS Location,Lab Identifier Code,Electrical Conductivity,pH ,Turbidity,Color (Apparent),Total Alkalinity ,Total hardness ,Calcium Hardardness ,Flouride,Nitrites ,Sulphate ,Ammonium-N ,Chloride ,Phosphates-P ,Nitrates,Sodium ,Potassium ,Iron ,Free Chlorine,Total Chlorine,GPS location,GPS location2,e.coli,Total Dissolved Solids,Bicarbonates,Magnesium Hardness,Easting,Northing,Latitude,Longitude,Altitude,Field Temperature ,Source Type,Fluoride,GPS Latitude,GPS Longtude,GPSEasting,GPSNorthing,Dissolved Oxygen,Total Hardness as CaCO3,Magnesium hardness as CaCO3,Calcium,Silica,Mercury,Lead,Manganese
Oluzi lwa mulule protected spring,Kisilamu,Kyetume,Nakisunga,Mukono South,Mukono,E475151 N34025,E23/00128,96,4.8,2.1,5,17,24,13,0.11563,0.00249,5.23856,0.00428,5.92499,0.04775,5.30713,6.8,4.8,0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kitega Wanton protected spring,Kitega Wanton,Kyetume,Mukono central division,Mukono municipality,Mukono,E473559 N38474,E23/00129,122,5.1,2.84,29,15,30,15,0.1172,0.00566,2.75104,0.12644,17.82051,0.04336,5.17801,9.3,4.4,0.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upper Kauga borehole ,Upper Kauga,Nsuube Kauga,Mukono central division,Mukono municipality,Mukono,E471067 N40346,E23/00074,122,5.4,1.76,2,32,26,18,0.11354,0.00832,14.03802,0.02089,2.89193,0.11609,6.14054,9,5.6,0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vuumba Community borehole,Vuumba,Nakigole,Kalagala,,Luweero,,E22/09382,286,6.57,1.7,1,46,86.2,44.2,0.41131,0.00496,20.59539,0.04848,18.3249,0.46958,15.10519,,,,ND,ND,36N 0.605723,32.676042,<1,200.2,56.12,42,,,,,,,,,,,,,,,,,,,,
Ndeeba Masjid Noor shallow well,Ndeeba Kakoni,Nakigole,Kalagala,,Luweero,,E22/09383,169.9,6.45,1.6,13,51,41.2,21.2,0.36076,0.00263,0.80816,0.08792,1.55855,1.03224,4.62426,,,,ND,ND,36N 0.614298,32.68916,44,118.93,62.22,20,,,,,,,,,,,,,,,,,,,,
Bulami community borehole,Bulami,Kabulanaka,Zirobwe S/C,,Luweero,,E22/09384,108.5,6.64,1.9,14,37,33.4,16.4,0.20522,0.02196,24.96521,0.03488,0.67499,0.33294,3.84813,,,,ND,ND,36N 0.632672,32.700623,<1,75.95,45.14,17,,,,,,,,,,,,,,,,,,,,
Kajjawo community borehole,Kajjawo,0,Zirobwe S/C,,Luweero,,E22/09385,187.8,5.27,1.4,8,13,29.8,15.2,0.09463,0.00739,43.43394,0.14477,14.52271,0.17133,10.01999,,,,ND,ND,36N 0.626347,32.707973,<1,131.46,15.86,14.6,,,,,,,,,,,,,,,,,,,,
Zirobwe Masjid Taqwa shallow well,Zirobwe,Zirobwe,Zirobwe T/C,,Luweero,,E22/09387,1220,6.5,1.7,19,150,357.2,165.8,0.42447,2.30315,36.57894,0.1207,173.8706,0.3615,37.79263,,,,ND,ND,36N 0.681463,32.699047,TNTC,854,183,191.4,,,,,,,,,,,,,,,,,,,,
Namakofu shallow well,Namakofu,Nambi,Zirobwe S/C,,Luweero,,E22/09390,331,6.74,2.3,12,100,82.6,51.8,0.77834,0.00639,39.77444,0.0675,8.29878,0.55491,6.15709,,,,ND,ND,36N 0.672650,32.674879,<1,231.7,122,30.8,,,,,,,,,,,,,,,,,,,,
NWSC Zirobwe resovior,Namawojja,0,Zirobwe S/C,,Luweero,,E22/09391,446,6.48,1.7,1,130,144.4,77.2,0.73177,0.00258,27.66709,0.06563,27.63186,0.35988,8.68669,,,,0.14,0.15,36N 0.665295,32.666728,<1,312.2,158.6,67.2,,,,,,,,,,,,,,,,,,,,
NWSC Zirobwe PSP,Tawalulwa,Nambi,Zirobwe S/C,,Luweero,,E22/09392,302,6.38,1.9,7,110,102,46.6,0.45675,0.00194,14.80111,0.07008,9.85516,0.38789,3.21673,,,,0.02,0.07,36N 0.663028,32.64662,<1,211.4,134.2,55.4,,,,,,,,,,,,,,,,,,,,
Nampunge community borehole,Nampunge,Nambi,Zirobwe S/C,,Luweero,,E22/09393,172.1,5.73,2,<0.2432,43,38.4,17.8,0.20116,0.00281,16.03626,0.09176,4.17567,0.21943,4.49735,,,,ND,ND,36N 0.661952,32.644702,<1,120.47,52.46,20.6,,,,,,,,,,,,,,,,,,,,
Lutete community borehole,Lutete,Kyampisi,Bamunanika,,Luweero,,E22/09394,291,5.17,1.2,<0.2432,24,71.2,32.8,0.15168,0.00281,8.93293,0.22752,45.38383,0.38024,9.47204,,,,ND,ND,36N 0.666747,32.614158,<1,203.7,29.28,38.4,,,,,,,,,,,,,,,,,,,,
Kaliro katono community borehole - DWD 17219,Kaliro katono,Kiteme,Bamunanika,,Luweero,,E22/09398,642,6.71,1.7,<0.2432,120,191,88.6,0.26116,0.02791,0.79032,0.05601,18.39939,0.30606,9.16832,,,,ND,ND,36N 0.712023,32.58277,<1,449.4,146.4,102.4,,,,,,,,,,,,,,,,,,,,
Wobulenzi community borehole,Wobulenzi,Kigobera,Wobulenzi T/C,,Luweero,,E22/09399,303,5.81,16,5,36,89.8,39,0.04588,0.00225,13.49775,0.04618,0.3316,0.17013,0.03692,,,,ND,ND,36N 0.714815,32.534558,<1,212.1,43.92,50.8,,,,,,,,,,,,,,,,,,,,
NWSC Luweero Kiosk,Galuweero,Luweero,Luweero T/C,,Luweero,,E22/09420,277,6.26,1.9,4,72,40,22.6,0.21946,0.00412,14.59248,0.08118,26.19005,0.26532,5.09561,,,,0.16,0.17,36N 0.847233,32.481705,<1,193.9,87.84,17.4,,,,,,,,,,,,,,,,,,,,
NWSC Luweero Final treated water,Lumu,Luweero,Luweero T/C,,Luweero,,E22/09421,278,6.44,1.8,<0.2432,70,78.6,42.2,0.23203,0.00238,17.79477,0.06095,26.36292,0.28844,4.87447,,,,0.65,0.74,36N 0.842237,32.492723,<1,194.6,85.4,36.4,,,,,,,,,,,,,,,,,,,,
Bulyake village borehole - DWD 32323,Bulyake,Kaasangombe,Kaasangombe,,Nakaseke,,E22/09400,235,6,13,7,78,69,38,0.21303,0.01191,9.59994,0.1971,5.45488,0.20126,1.48263,,,,ND,ND,36N 0.721368,32.480843,<1,164.5,95.16,31,,,,,,,,,,,,,,,,,,,,
Namasujja A community borehole,Namasujja A,Bulyake,Kaasangombe,,Nakaseke,,E22/09401,264,5.61,3,<0.2432,48,90.2,28.8,1.10427,0.01132,5.92449,0.03498,26.99087,0.21356,2.07212,,,,ND,ND,36N 0.729460,32.474103,<1,184.8,58.56,61.4,,,,,,,,,,,,,,,,,,,,
Namasujja parents P/school borehole,Namasujja A,Bulyake,Kaasangombe,,Nakaseke,,E22/09402,126.7,5.31,1.9,<0.2432,17,26,12.2,0.202,0.02316,11.21301,0.06833,3.56735,0.17361,0.95399,,,,ND,ND,36N 0.726038,32.4731655,1,88.69,20.74,13.8,,,,,,,,,,,,,,,,,,,,
Kaasangombe community borehole,Kaasangombe,Bukuku,Kaasangombe,,Nakaseke,,E22/09403,287,6.47,1.6,<0.2432,105,120,41.2,0.18204,0.00872,15.13232,0.08723,11.17057,0.1753,5.63705,,,,ND,ND,36N 0.738432,32.462983,<1,200.9,128.1,78.8,,,,,,,,,,,,,,,,,,,,
Nambega village borehole,Nambega,Nsakabusolo,Kaasangombe,,Nakaseke,,E22/09405,259,6.72,9.3,39,105,80.6,63.4,0.2215,0.003,-0.09983,0.06554,9.09889,0.25961,7.00937,,,,ND,ND,36N 0.740840,32.419403,<1,181.3,128.1,17.2,,,,,,,,,,,,,,,,,,,,
Nakaseke community borehole,Nakaseke,0,0,,Nakaseke,,E22/09406,252,5.73,2,<0.2432,54,60.2,36,0.58144,0.00368,16.87301,0.02486,4.87179,0.20472,4.73794,,,,ND,ND,36N 0.727852,32.412698,<1,176.4,65.88,24.2,,,,,,,,,,,,,,,,,,,,
St. Joseph Kiziba R/C P/School borehole,Kiziba,0,Nakaseke S/C,,Nakaseke,,E22/09408,151.4,6.31,7.6,<0.2432,51,41.6,18.4,0.20848,0.01114,37.65802,0.04523,5.1866,0.17298,1.40237,,,,ND,ND,36N 0.729647,32.401072,<1,105.98,62.22,23.2,,,,,,,,,,,,,,,,,,,,
Lufula zone community borehole,Lufula zone,Nakaseke,Nakaseke T/C,,Nakaseke,,E22/09409,507,6.85,2.1,<0.2432,195,153.8,65.8,1.07831,0.01312,10.3992,0.08325,27.59255,0.18601,2.14827,,,,ND,ND,36N 0.721590,32.400658,<1,354.9,237.9,88,,,,,,,,,,,,,,,,,,,,
St. Paul COU borehole,Church zone,Central,Nakaseke T/C,,Nakaseke,,E22/09410,160.5,5.84,21,1,65,154.2,67.4,0.22763,0.02339,10.37518,0.10292,3.75531,0.17207,0.81859,,,,ND,ND,36N 0.726592,32.407033,<1,112.35,79.3,86.8,,,,,,,,,,,,,,,,,,,,
Mosque Shallow well,0,Central,Nakaseke T/C,,Nakaseke,,E22/09411,157.8,5.75,3.1,11,34,42,14.6,0.18803,0.00842,2.62863,0.06752,10.84392,0.15162,4.45254,,,,ND,ND,36N 0.733363,32.413438,9,110.46,41.48,27.4,,,,,,,,,,,,,,,,,,,,
Kasambya village shallow well,Kasambya A,Kigege,Nakaseke S/C,,Nakaseke,,E22/09412,70,5.81,12,210,19,43.8,15.8,0.1025,0.00379,1.14147,0.06578,6.4142,0.22459,1.43968,,,,ND,ND,36N 0.770128,32.407892,32,49,23.18,28,,,,,,,,,,,,,,,,,,,,
Kasambya A village shallow well,Kasambya A,Kigege,Nakaseke S/C,,Nakaseke,,E22/09413,188.6,5.85,2.7,12,70,27.6,6.2,0.20169,0.01078,15.57199,0.0453,7.60436,0.19975,2.35765,,,,ND,ND,36N 0.765537,32.408732,<1,132.02,85.4,21.4,,,,,,,,,,,,,,,,,,,,
Kamuli community P/Sch. Borehole,Kamuli,Kamuli,Kikamulo,,Nakaseke,,E22/09414,203.2,5.77,1.9,8,53,47.2,23.2,0.22966,0.00245,0.47117,0.05197,9.0262,0.25396,6.23732,,,,ND,ND,36N 0.791530,32.399405,<1,142.24,64.66,24,,,,,,,,,,,,,,,,,,,,
Nakazzi lugo lumpweo borehole,Nakazzi lumpewo,Kamuli,Kikamulo,,Nakaseke,,E22/09415,208.3,6.84,4,18,81,64.8,25.4,0.60566,0.00351,21.21111,0.07979,4.941,0.28165,4.74706,,,,ND,ND,36N ,0,<1,145.81,98.82,39.4,,,,,,,,,,,,,,,,,,,,
Uganda Matyrs Catholic parish borehole,Lwabijogo,0,Kiwoko T/C,,Nakaseke,,E22/09416,249,6.25,1.2,1,105,66,31.8,0.38535,0.00268,33.75182,0.02906,3.53109,0.27007,1.4576,,,,ND,ND,36N 0.833147,32.365718,<1,174.3,128.1,34.2,,,,,,,,,,,,,,,,,,,,
Kiwoko borehole,Nakaseta zone,Kiwoko,Kiwoko T/C,,Nakaseke,,E22/09417,240,6.92,3.8,14,62,79.2,39.2,0.18189,0.01304,26.34086,-0.00623,6.60401,0.14626,7.42631,,,,ND,ND,36N 0.841738,32.363862,<1,168,75.64,40,,,,,,,,,,,,,,,,,,,,
Kiwoko cenetral borehole,Central zone,Kiwoko,Kiwoko T/C,,Nakaseke,,E22/09418,347,6.2,2.1,4,92,56,32.2,0.26532,0.00522,24.81616,0.04094,11.56756,0.25012,8.96466,,,,ND,ND,36N 0.843922,32.364662,<1,242.9,112.24,23.8,,,,,,,,,,,,,,,,,,,,
Magoma R/C P/School borehole - DWD 51413,Magoma,0,Kiwoko T/C,,Nakaseke,,E22/09419,166.6,6.54,1.8,3,55,101.2,48.2,0.26067,0.00679,1.52247,0.03355,0.87978,0.31084,2.4739,,,,ND,ND,36N 0.846500,32.391598,<1,116.62,67.1,53,,,,,,,,,,,,,,,,,,,,
NWSC Kakooge PSP,Kalina zone,Kakooge,Kakooge T/C,,Nakasongola,,E22/09422,420,7.35,1.8,<0.2432,220,170.2,86,1.63313,0.00463,60.28844,0.03327,3.32715,0.17559,0.20578,,,,0.07,0.13,36N 1.052127,32.467492,<1,294,268.4,84.2,,,,,,,,,,,,,,,,,,,,
Katugo private water supply system,Katugo,Katugo,Katugo T/C,,Nakasongola,,E22/09423,867,6.73,2,<0.2432,135,328.2,146,0.57474,0.00441,17.80692,0.03644,157.8716,0.48381,6.17978,,,,0,0,36N 1.156917,32.464505,TNTC,606.9,164.7,182.2,,,,,,,,,,,,,,,,,,,,
Kyankanwa village borehole,Kyankanwa,Kyankanwa,Katugo T/C,,Nakasongola,,E22/09424,498,6.8,1.9,<0.2432,115,162.4,84.4,0.37793,0.00926,0.55631,0.09276,61.62422,0.33207,7.90487,,,,ND,ND,36N 1.198533,32.463472,<1,348.6,140.3,78,,,,,,,,,,,,,,,,,,,,
NWSC Nakasongola PSP,Wabigalo,Wabigalo,Wabigalo,,Nakasongola,,E22/09425,141.5,6.77,2.4,21,40,38.2,18.8,0.34141,0.00247,0.61037,0.06189,11.53516,0.30125,0.9069,,,,0.14,0.15,36N 1.251250,32.458779,<1,99.05,48.8,19.4,,,,,,,,,,,,,,,,,,,,
NWSC Nakasongola Kiosk,Kansirye,Kiwongweire,Wabigalo,,Nakasongola,,E22/09426,134.9,6.57,2.6,25,40,36.6,17.8,0.20278,0.00216,1.02528,0.08306,10.88303,0.15353,0.21933,,,,0,0,36N 1.294542,32.464752,10,94.43,48.8,18.8,,,,,,,,,,,,,,,,,,,,
Nakasongola A village borehole,Nakasongola A,Central,Nakasongola T/C,,Nakasongola,,E22/09427,334,6.56,1.8,3,120,98.6,48.4,0.31604,0.00362,1.12525,0.04876,31.06985,0.36045,6.71163,,,,ND,ND,36N 1.308018,32.465283,<1,233.8,146.4,50.2,,,,,,,,,,,,,,,,,,,,
NWSC Nakasongola PSP,Nakasongola A,Central,Nakasongola T/C,,Nakasongola,,E22/09428,144.6,6.65,2.8,29,42,43.2,19,0.10825,0.0022,12.34891,0.08495,11.56837,0.16824,0.34537,,,,0,0,36N 1.312917,32.465301,10,101.22,51.24,24.2,,,,,,,,,,,,,,,,,,,,
Nakasongola central police borehole,Nakasongola  ,Central,Nakasongola T/C,,Nakasongola,,E22/09429,666,6.23,2.1,4,130,135.8,68.4,0.62627,0.00746,23.25799,0.08557,67.92879,0.1888,28.99053,,,,ND,ND,36N 1.313042,32.465025,32,466.2,158.6,67.4,,,,,,,,,,,,,,,,,,,,
St. Kizito Sasira borehole,Ssasira,Ssasira,Wabinyonyi,,Nakasongola,,E22/09430,264,6.01,1.8,<0.2432,92,52.4,25.4,0.17837,0.00299,2.06465,0.03195,12.12451,0.15911,3.02935,,,,ND,ND,36N 1.333789,32.416601,<1,184.8,112.24,27,,,,,,,,,,,,,,,,,,,,
Rwenzori bottled water,0,0,0,,Nakasongola,,E22/09431,132.5,5.64,1.9,<0.2432,47,36.2,21.6,0.27426,0.00169,,0.15058,2.07753,0.43934,2.35143,,,,ND,ND,0,0,<1,92.75,57.34,14.6,,,,,,,,,,,,,,,,,,,,
NWSC Nkokonjeru PSP,Kigulu,Mulaje,Nkokonjeru T/C,,Buikwe,,E22/09931,132,6.4,2.5,20,50,40.2,22.4,0.24,0.01,0.9,0.11,3.9,0.07,3.16,10,1.7,,0.04,0.1,36N 491344E,26890N,<1,92.4,61,17.8,,,,,,,,,,,,,,,,,,,,
Kibali shallow well,Kibali,0,Ngogwe,,Buikwe,,E22/09934,166,5.8,1.7,<0.2432,52,57.6,34.8,0.19,<0.001,6.5,0.06,8.1,0.13,4.62,13,3.2,,ND,ND,36N 498726E,26789N,<1,116.2,63.44,22.8,,,,,,,,,,,,,,,,,,,,
Nakigaya Protected spring,Nakigaya,Namatovu,Nujja,,Buikwe,,E22/09935,87,5.9,3.1,27,37,31.4,14.2,0.2,<0.001,3.5,0.08,1.7,0.02,2.44,4,1.3,,ND,ND,36N 506445E,30251N,101,60.9,45.14,17.2,,,,,,,,,,,,,,,,,,,,
Buwooya mosque borehole,Kigayi,Malongwe,Kasubi,,Buikwe,,E22/09936,81,5.9,13,22,38,35.2,27,0.13,0.02,0.8,0.04,1.3,0.04,0.25,1.8,0.7,,ND,ND,36N 504301E,32217N,<1,56.7,46.36,8.2,,,,,,,,,,,,,,,,,,,,
NWSC Buikwe PSP,Majija,Malongwe,Kasubi,,Buikwe,,E22/09937,142,6.4,1.4,<0.2432,65,49.6,27,0.25,<0.001,0.8,0.09,2.5,0.05,1.22,8.3,2.7,,0.04,0.08,36N 503217E,33566N,<1,99.4,79.3,22.6,,,,,,,,,,,,,,,,,,,,
NWSC Buikwe PSP,Misindye upper,Buikwe,Buikwe T/C,,Buikwe,,E22/09942,279,6.8,2.2,3,130,114.2,61.4,0.24,<0.001,1.5,0.17,7.4,0.18,0.69,12,2.3,,0,0.01,36N 503034E,38598N,<1,195.3,158.6,52.8,,,,,,,,,,,,,,,,,,,,
NWSC Lugazi final treated water,Kawuku,0,Lugazi municipality,,Buikwe,,E22/09943,90,6.1,1.7,<0.2432,41,37.4,22.2,0.16,<0.001,1.3,0.03,2.9,0.02,1.09,2.9,1.5,,1.72,1.84,36N 496576E,39968N,<1,63,50.02,15.2,,,,,,,,,,,,,,,,,,,,
NWSC Lugazi PSP - far point,Kibuba,0,0,,Buikwe,,E22/09945,93,6.2,2.1,5,37,46.6,20.6,0.13,<0.001,1.4,0.02,4,0.01,0.94,4.3,1.7,,0.06,0.09,36N 494884E,40689N,<1,65.1,45.14,26,,,,,,,,,,,,,,,,,,,,
Kasowole P/Sch borehole DWD 86267,Bulagala B,Kasowole,Kigumba,,Kamuli,,E22/09951,552,6.4,2.1,<0.2432,190,156.4,98.8,0.55,0.01,61,0.07,20,0.19,3.65,54,5.5,,ND,ND,36N 510054E,123659N,8,386.4,231.8,57.6,,,,,,,,,,,,,,,,,,,,
Namusita Buyima community b/hole DWD 66233,Namusita Buyima,Kasowole,Kigumba,,Kamuli,,E22/09952,276,6.1,1.7,<0.2432,115,82,47.4,0.52,<0.001,15,0.04,3.2,0.14,2.82,26,2.6,,ND,ND,36N ,0,<1,193.2,140.3,34.6,,,,,,,,,,,,,,,,,,,,
Busuna shallow well,Busuna,Nawangaiza,Bulawoli T/C,,Kamuli,,E22/09953,230,5.7,2.8,13,37,40.4,23,0.21,0.01,26,0.12,14,0.01,4.37,25,7.4,,ND,ND,36N 510908E,113543N,78,161,45.14,17.4,,,,,,,,,,,,,,,,,,,,
Namuyinji HC II borehole,Namuyingi,Buswa,Nabiwigulu,,Kamuli,,E22/09954,530,6.4,1.9,<0.2432,110,166.8,93.6,0.5,0.01,9.4,0.02,72,0.09,3.1,31,3.9,,ND,ND,36N 511123E,111497N,<1,371,134.2,73.2,,,,,,,,,,,,,,,,,,,,
Bulindi shallow well,Bulindi,0,Nankulyaku,,Kamuli,,E22/09955,129,5.1,2.4,<0.2432,14,26.2,13.4,0.23,<0.001,18,0.05,0.9,0.01,6.1,6.8,16,,ND,ND,36N 512469E,104708N,<1,90.3,17.08,12.8,,,,,,,,,,,,,,,,,,,,
Namaganda shallow well,Namaganda Butooli,Namaganda,Kitayundwa,,Kamuli,,E22/09958,184,5.4,1.8,<0.2432,21,29.4,20.6,0.17,<0.001,22,0.02,13,0.05,3.52,22,2.3,,ND,ND,36N 522216E,95705N,<1,128.8,25.62,8.8,,,,,,,,,,,,,,,,,,,,
Naminage community borehole DWD 28947,Naminage,Kitayundwa,Kitayundwa,,Kamuli,,E22/09959,621,6.2,2.1,1,150,238,82,0.4,0.1,39,0.05,48,0.11,29,29,4.2,,ND,ND,36N 520263E,95734N,<1,434.7,183,156,,,,,,,,,,,,,,,,,,,,
Kitayundwa community borehole,Kitayundwa,Kitayundwa,Kitayundwa,,Kamuli,,E22/09960,576,6.6,1.8,<0.2432,240,254.8,188,0.34,<0.001,44,0.08,7.2,0.12,8.72,25,2.2,,ND,ND,36N 517950E,98688N,<1,403.2,292.8,66.8,,,,,,,,,,,,,,,,,,,,
Kitayundwa shallow well,Kitayundwa,Kitayundwa,Kitayundwa,,Kamuli,,E22/09961,571,6.5,2.5,4,175,210.2,128.6,0.24,0.01,26,0.01,27,0.01,13,31,5.5,,ND,ND,36N 517895E,99191N,10,399.7,213.5,81.6,,,,,,,,,,,,,,,,,,,,
Namisambya shalllow well,Namisambya,Kitayundwa,Northern Div,,Kamuli,,E22/09962,131,5.9,1.7,<0.2432,16,30.4,21.2,0.1,<0.001,6.7,0.27,7.1,0.02,6.12,6.9,7.8,,ND,ND,36N 515772E,100461N,<1,91.7,19.52,9.2,,,,,,,,,,,,,,,,,,,,
Namisambya community borehole,Namisambya 2,Businge,Northern Div,,Kamuli,,E22/09963,557,5.8,1.8,<0.2432,74,146.4,79.2,0.23,0.01,115,<0.002,55,0.1,3.2,46,5.6,,ND,ND,36N 515581E,100613N,<1,389.9,90.28,67.2,,,,,,,,,,,,,,,,,,,,
Bukwenge COU borehole,Bukwenge,Northern Div,Kamuli Municipality,,Kamuli,,E22/09964,434,6.2,1.8,<0.2432,85,120.4,77.4,0.34,<0.001,38,0.18,28,0.19,11,47,6.4,,ND,ND,36N 513070E,102171N,<1,303.8,103.7,43,,,,,,,,,,,,,,,,,,,,
NWSC Kamuli resovior (final treated water),0,0,Kamuli Municipality,,Kamuli,,E22/09965,716,6.9,1.8,2,130,215.6,123.2,0.64,0.01,16,0.19,110,0.1,2.63,55,7.3,,ND,ND,36N 513674E,104116N,<1,501.2,158.6,92.4,,,,,,,,,,,,,,,,,,,,
community borehole,Bulyampanga,Nayibowa,Butunsi,,Kamuli,,E22/09969,162,6,1.7,<0.2432,53,42.4,23.2,0.27,0.01,5.6,0.08,9.2,0.3,2.57,15,3,,ND,ND,36N 510133E,98391N,<1,113.4,64.66,19.2,,,,,,,,,,,,,,,,,,,,
Busobya community borehole,Busobya zone,0,Mbulamuti,,Kamuli,,E22/09972,161,5.8,1.6,<0.2432,52,33.8,20,0.32,0.01,2.2,0.05,4.5,0.1,5.99,17,2.8,,ND,ND,36N 505754E,92887N,<1,112.7,63.44,13.8,,,,,,,,,,,,,,,,,,,,
Wampologma community b/hole DWD 59654,Wampologoma,0,Busana,,Kayunga,,E22/09973,220,6.1,1.9,<0.2432,100,79,68.8,0.22,0.01,7.8,0.04,1.2,0.08,1.43,14,2,,ND,ND,36N 500569E,87275N,<1,154,122,10.2,,,,,,,,,,,,,,,,,,,,
Bugonda community b/hole WDD 178,Bugonda,0,Busaana,,Kayunga,,E22/09974,785,6.8,1.8,<0.2432,195,318.4,149,0.8,<0.001,80,<0.002,73,0.03,0.82,30,7.7,,ND,ND,36N 499418E,85045N,<1,549.5,237.9,169.4,,,,,,,,,,,,,,,,,,,,
Bugonda shallow well,Bugonda,0,BUsaana,,Kayunga,,E22/09975,197,5.7,1.8,<0.2432,34,44,21.4,0.07,<0.001,5.8,0.11,1.7,0.03,16,12,16,,ND,ND,36N 500922E,83640N,<1,137.9,41.48,22.6,,,,,,,,,,,,,,,,,,,,
Buganda borehole,Buganda,Kibazi,Busaana,,Kayunga,,E22/09976,756,5.8,1.6,<0.2432,60,212.8,112.2,0.15,<0.001,91,0.05,124,0.02,5.49,55,9.4,,ND,ND,36N 501106E,83046N,<1,529.2,73.2,100.6,,,,,,,,,,,,,,,,,,,,
Namirembe village borehole WDD 782,Namirembe,0,Busaana,,Kayunga,,E22/09977,317,6,1.7,<0.2432,99,110.4,53.2,0.42,<0.001,1.6,0.06,35,0.05,2.35,16,3.9,,ND,ND,36N 497400E,88166N,<1,221.9,120.78,57.2,,,,,,,,,,,,,,,,,,,,
Nongo mosque borehole,Nongo,0,Kitmbwa,,Kayunga,,E22/09978,272,6,2.7,<0.2432,110,101.6,69.8,0.24,0.02,2.3,0.15,9.8,0.1,4.13,13,1.7,,ND,ND,36N 492655E,89528N,<1,190.4,134.2,31.8,,,,,,,,,,,,,,,,,,,,
Budada borehole,Budada,Wabuyija,Kitimbwa,,Kayunga,,E22/09979,566,5.8,1.8,1,600,158.6,102.4,0.31,<0.001,34,0.05,100,0.17,6.49,35,10,,ND,ND,36N 487727E,93339N,<1,396.2,732,56.2,,,,,,,,,,,,,,,,,,,,
Bulawula village b/hole WDD 9128,Bulawula C,Bulawula,Kitmbwa S/C,,Kayunga,,E22/09981,271,6.2,1.8,<0.2432,130,132.2,61,0.44,<0.001,2.6,0.09,1.6,0.13,2.09,15,4.1,,ND,ND,36N 494850E,92383N,<1,189.7,158.6,71.2,,,,,,,,,,,,,,,,,,,,
Nkokonjeru p/sch borehole,Nkokonjeru,Nkokonjeru ,Kitimbwa,,Kayunga,,E22/09982,260,6,2.2,11,66,74.4,45.8,0.35,<0.001,1.1,0.08,28,0.04,6.61,20,3.4,,ND,ND,36N 4942223E,91440N,<1,182,80.52,28.6,,,,,,,,,,,,,,,,,,,,
Busaana T/C H/qtrs borehole,Kawuku,Busaana,Busaana,,Kayunga,,E22/09983,483,6.4,1.8,<0.2432,95,150,89.8,0.38,<0.001,16,0.01,44,0.24,20,29,5.2,,ND,ND,36N 498574E,85435N,<1,338.1,115.9,60.2,,,,,,,,,,,,,,,,,,,,
Aliganyira shallow well or Bangirana shallow well,Kyabakwerere,Kyabakwerere,Bigodi Town Council,,Kamwenge,,E22/03131,76,6.9,1.24,,,,,,0.00102,9.72927,0.00865,1.39561,0,0,,,,,,,,9,53.2,,,212591.0742,10046752.05,0.4225481,30.417939,1211.670776,25,,,,,,,,,,,,,,
Kihoima bore hole,Kihoima,Kyabakwerere,Bigodi Town Council,,Kamwenge,,E22/03132,134.2,7.1,1.03,,,,,,0.00152,15.7005,0.03777,1.31526,0,0,,,,,,,,<1,93.94,,,213852.3355,10046619.96,0.421358,30.4292628,1277.733032,23.1,,,,,,,,,,,,,,
Basaliza spring,Kihoima,Kyabakwerere,Bigodi Town Council,,Kamwenge,,E22/02818,116.5,7.38,0.99,,,,,,0.00201,12.50203,0.02682,0.96973,0,0,,,,,,,,108,81.55,,,214347.9953,10047051.86,0.4252631,30.4337115,1256.806519,23,,,,,,,,,,,,,,
Kamwenge College School  Tap,Ganyenda I,Ganyenda,Kamwenge,,Kamwenge,,E22/02856,267,7.35,0.85,,,,,,0.0087,64.31276,0.082,8.6367,0,0,,,,,,,,TNTC,186.9,,,0,0,0,0,0,24.9,,,,,,,,,,,,,,
Machiro Primary School Tap,Kinoni I,Ganyenda,Kamwenge,,Kamwenge,,E22/02857,275,7.41,0.95,,,,,,0.00244,54.38193,0.04155,9.26287,0,0,,,,,,,,TNTC,192.5,,,0,0,0,0,0,23.7,,,,,,,,,,,,,,
Machiro Primary School BH,Kinoni I,Ganyenda,Kamwenge,,Kamwenge,,E22/02858,64.7,7.06,0.96,,,,,,0.0019,6.18002,0.02381,0.49023,0,0,,,,,,,,<1,45.29,,,0,0,0,0,0,24,,,,,,,,,,,,,,
Agaba Waren Tap,Kengoma II,Nyamashegwa,Kabambiro,,Kamwenge,,E22/02989,266,7.53,104,,,,,,0.00343,65.234,0.03084,8.7641,0,0,,,,,,,,<1,186.2,,,223026.7796,10017502.47,0.1582,30.51169,1245,24.3,,,,,,,,,,,,,,
Kishiza shallow well ,Burengye,Nyamashegwa,Kabambiro,,Kamwenge,,E22/02990,420,7.87,1.08,,,,,,0.00157,61.22324,0.02367,9.88801,0,0,,,,,,,,36,294,,,225109.3864,10019025.79,0.1719713,30.5303866,1199.865895,24.2,,,,,,,,,,,,,,
