Source Name,Village,Parish,Sub county ,County,District,GPS Location,Lab Identifier Code,Electrical Conductivity,pH ,Turbidity,Color (Apparent),Total Alkalinity ,Total hardness ,Calcium Hardardness ,Flouride,Nitrites ,Sulphate ,Ammonium-N ,Chloride ,Phosphates-P ,Nitrates,Sodium ,Potassium ,Iron ,Free Chlorine,Total Chlorine,GPS location,GPS location2,e.coli,Total Dissolved Solids,Bicarbonates,Magnesium Hardness,Easting,Northing,Latitude,Longitude,Altitude,Field Temperature ,Source Type,Fluoride,GPS Latitude,GPS Longtude,GPSEasting,GPSNorthing,Dissolved Oxygen,Total Hardness as CaCO3,Magnesium hardness as CaCO3,Calcium,Silica,Mercury,Lead,Manganese
Ajaogala,Ajaogala,,,,Lamwo,,UN23/0292,473,7.48,0.223,,380,231.6,64.8,,,1.55,,,,1.77,31.2,,,,,,,,331.1,463.6,40.032,,,440389,368384,,,Tap,0.44,,,,,,,,,,,,
Ajaogala,Ajaogala,,,,Lamwo,,UN23/0293,841,6.99,0.24,,280,239.6,32.4,,,4.31,,,,<0.02,80.1,,,,,,,,588.7,341.6,49.728,,,440618,370685,,,Borehole,1.17,,,,,,,,,,,,
Bwero Langwidi,Ajaogala,,,,Lamwo,,UN23/0294,309,6.78,6.11,,444,102.8,40.8,,,0.38,,,,1.43,29.6,,,,,,,,216.3,541.68,14.88,,,439533,365445,,,Unprotected Spring,1.25,,,,,,,,,,,,
Ajaogala,Ajaogala,,,,Lamwo,,UN23/0295,357,6.93,0.178,,188,91.2,56.8,,,0,,,,4.06,24.39,,,,,,,,249.9,229.36,8.256,,,440626,368178,,,Borehole,1.56,,,,,,,,,,,,
Block 7 Zone 7,Ajaogala,,,,Lamwo,,UN23/0296,466,7.03,0.223,,264,171.6,64.8,,,1.63,,,,1.91,31.4,,,,,,,,326.2,322.08,25.632,,,441167,368353,,,Tap,0.23,,,,,,,,,,,,
Our Lady's Secondary School Kitwekyambogo,Mbogo,Kitwe-Kyambogo,Luuka Tc,,Luuka,,E22/04394,480,7.6,2.76,,,,,,0.00528,98.64284,0.02352,16.35794,0.28079,3.83408,,,,,,,,<1,336,,,541843.3578,10085477.18,,,,,Protected Deep borehole Hand Pump ,,0.7733216,33.376067,,,,,,,,,,
Kitwekyambogo primary school,Mbogo,Kitwe-Kyambogo,Luuka Tc,,Luuka,,E22/04395,370,7.8,1.54,,,,,,0.00166,33.58435,0.03544,5.3452,0.20557,5.18969,,,,,,,,<1,259,,,535146.2773,100877162.3,,,,,Public Stand Post with Piped Supply ,,0.6981005,33.3158724,,,,,,,,,,
Kiyunga Primary school,Nawamwena,Kitwe-Kyambogo,Luuka Tc,,Luuka,,E22/04396,261,7.6,1.23,,,,,,0.00239,22.501,0.04801,5.08619,0.20852,3.32873,,,,,,,,<1,182.7,,,536862.7503,10084693.69,,,,,Protected Deep borehole Hand Pump ,,0.766237,33.3313038,,,,,,,,,,
Tomborehole,Kiyunga Central,Kiyunga,Luuka Tc,,Luuka,,E22/04397,456,7.8,1.67,,,,,,0.00413,47.39408,0.04151,5.50549,0.23532,4.54793,,,,,,,,<1,319.2,,,537867.7843,10086586.87,,,,,Protected deep borehole,,0.7833642,33.3403378,,,,,,,,,,
Kiyunga hospital borehole,Kiyunga Hospital,Kiyunga,Luuka Tc,,Luuka,,E22/04398,558,7.4,1.23,,,,,,0.00461,19.18808,0.01795,34.39494,0.13452,30.05653,,,,,,,,<1,390.6,,,536846.0704,10084705.74,,,,,Protected deep borehole,,0.7663461,33.3311539,,,,,,,,,,
Makuutu subcounty borehole,Makuutu,,Makuutu,,Bugweri,,E23/01851,359,,1.76,<0.5,152,,126,,0.00146,16.13871,0.00601,2.81557,0.11153,6.48163,15,5.2,,,,,,<1,251.3,185.44,8.16,,,,,,27,Ground water,0.09043,,,36N 566143 ,55392,5.1,160,34,50.4,53.23611,<0.001,<0.015,
Busiimo Pri School Borehole,Busiimo,,Makuutu,,Bugweri,,E23/01852,175,,1.95,<0.5,50,,30,,0.00147,7.39301,0.00379,7.07127,0.10667,6.92006,16,5.3,,,,,,<1,122.5,61,4.8,,,,,,28,Ground water,0.09151,,,36N 565623 ,50578,5.1,50,20,12,51.76566,<0.001,<0.015,
Kyebando Borehole,Kyebando,,Kyenda Town council,,Mubende,,E23/01705,170,,1.83,,68,,21,,0.00159,12.09813,0.069,4.23033,0.0794,1.53049,20,2.8,0.08,,,,,<1,119,82.96,9.6,,,,,1281,24,Ground water/ Borehole,0.17816,,,36N 333812,57010,5.1,61,40,8.4,29.29572,NR,,0.08937
Kyenda borehole,Kyenda,,Kyenda Town council,,Mubende,,E23/01706,290,,1.76,,125,,36,,0.00239,6.53345,0.04518,11.77767,0.13873,2.37574,24,1.9,0.04,,,,,<1,203,152.5,22.56,,,,,1274,23,Ground water/ Borehole,0.17836,,,36N 334146,55736,4.85,130,94,14.4,56.07824,NR,,0.10852
Nalongo spring ,Kabojja A ,,Kyengera T.C,,Wakiso,,E23/01710,235,,1.85,,56,,50,,0.00456,0.67062,1.0533,,0.03047,9.84878,12,3.6,0.05,,,,,20,164.5,68.32,7.2,,,,,,24,,0.13475,,,32357,36N 0446673,5,80,30,20,23.86087,,,0.58485
Kabojja B Spring,Kabojja B,,Kyengera T.C,,Wakiso,,E23/01711,200,,1.77,,11,,11,,0.0046,0.67616,0.55122,,0.04328,12.22264,19,5.4,0.08,,,,,2,140,13.42,5.52,,,,,,24.4,,0.0665,,,33011,36N 0446407,1.11,34,23,4.4,21.45493,,,1.24393
Kinawa Motorised hand dug well,Kinawa,,Kyengera T.C,,Wakiso,,E23/01712,223,,1.8,,4,,18,,0.00718,0.72902,0.26664,,0.05327,15.56782,18,4.3,0.05,,,,,<1,156.1,4.88,7.44,,,,,,27.5,,0.15379,,,29308,36N 0445662,5.5,49,31,7.2,17.96882,,,0.59906
Kikajjo Spring,Kikajjo,,Kyengera T.C,,Wakiso,,E23/01713,224,,1.9,,16,,22,,0.00197,5.9389,0.01641,,0.03153,11.09191,14,5.9,0.17,,,,,8,156.8,19.52,8.64,,,,,,24,,0.10721,,,29308,36N 0445662,3.2,58,36,8.8,25.78,,,0.3635
Kasenge Health Centre II Borehole ,Kasenge,,Kyengera T.C,,Wakiso,,E23/01714,163,,1.78,,69,,34,,0.00157,1.31713,0.04105,,0.18689,2.11286,13,2.8,0.03,,,,,<1,114.1,84.18,4.8,,,,,,23.7,,0.1905,,,28558,36N 0445265,4.3,54,20,13.6,27.21331,,,0.06191
Kasenge Pri Sch Shallow well ,Kasenge,,Kyengera T.C,,Wakiso,,E23/01715,161,,1.96,,5.6,,12,,0.00309,0.50899,0.0455,,0.03075,11.37755,13,5.4,0.06,,,,,<1,112.7,6.832,4.32,,,,,,24.8,,0.07263,,,28353,36N 0444870,3.5,30,18,4.8,23.81851,,,0.89895
Katalemwa Pri. School,Katalemwa,,Nakawuka,,Wakiso,,E23/01716,57,,21,,18,,7.8,,0.013,0.31171,0.15626,,0.26396,1.34066,1.3,1.1,2.05,,,,,2,39.9,21.96,7.248,,,,,,24,,0.14688,,,22888,36N 0041632,3.5,38,30.2,3.12,13.43546,,,0.17695
Nankonge Borehole,Katalemwa,,Nakawuka,,Wakiso,,E23/01717,38,,4.45,,12,,1.6,,0.0017,1.19742,0.02943,,0.05718,1.54298,1.4,1,0.21,,,,,<1,26.6,14.64,3.456,,,,,,23.5,,0.12194,,,22562,36N 0440006,4.8,16,14.4,0.64,20.2915,,,0.31797
Gambirana shallow well,Nakawuka,,Nakawuka,,Wakiso,,E23/01718,67,,2.65,,10,,9,,0.00296,2.77297,0.03573,,0.10532,3.23466,2.9,1.1,0.11,,,,,19,46.9,12.2,3.84,,,,,,23,,0.15894,,,22638,36N 0440026,4.2,25,16,3.6,19.98805,,,0.42081
